motherboard_name,motherboard_brand,motherboard_color,motherboard_supported_ram_type,motherboard_price,motherboard_value,ram_name,ram_brand,ram_color,ram_type,ram_rgb,ram_price,ram_value,total_price,total_value,score
ASUS Z790 AM5 mATX MB-2245,ASUS,black,DDR5,324,65,Corsair DDR4 8GB 2400MHz 4x RAM-1702,Corsair,silver,DDR4,yes,1278,80,1602,145,-999999
ASUS B760 LGA1700 ATX MB-0148,ASUS,gray,DDR4,2005,91,Kingston DDR5 32GB 3600MHz 1x RAM-0968,Kingston,black,DDR5,yes,647,53,2652,144,-999999
ASRock X670 LGA1700 mATX MB-2730,ASRock,silver,DDR4,1371,69,G.SKILL DDR5 8GB 3200MHz 4x RAM-2851,G.SKILL,gray,DDR5,yes,585,79,1956,148,-999999
ASRock B650 LGA1700 Mini-ITX MB-0826,ASRock,gray,DDR3,2190,85,Kingston DDR5 64GB 5600MHz 4x RAM-1042,Kingston,gray,DDR5,no,973,66,3163,151,-999999
Gigabyte B650 AM5 ATX MB-2476,Gigabyte,black,DDR4,1498,86,G.SKILL DDR3 16GB 2400MHz 2x RAM-1076,G.SKILL,silver,DDR3,no,750,49,2248,135,-999999
MSI B650 AM5 Mini-ITX MB-2959,MSI,gray,DDR3,1183,47,Crucial DDR5 16GB 1600MHz 1x RAM-0275,Crucial,silver,DDR5,yes,286,78,1469,125,-999999
ASUS Z790 LGA1700 mATX MB-2928,ASUS,black,DDR5,337,53,Kingston DDR3 64GB 5600MHz 1x RAM-0585,Kingston,black,DDR3,yes,1071,42,1408,95,-999999
Biostar B760 LGA1700 ATX MB-2321,Biostar,white,DDR4,1942,71,Crucial DDR5 16GB 2400MHz 4x RAM-2667,Crucial,white,DDR5,no,405,79,2347,150,-999999
ASUS B760 AM5 ATX MB-0017,ASUS,silver,DDR3,1187,88,Corsair DDR4 8GB 1866MHz 1x RAM-0429,Corsair,silver,DDR4,no,248,85,1435,173,-999999
Gigabyte B650 AM5 mATX MB-2356,Gigabyte,white,DDR4,1488,77,G.SKILL DDR3 8GB 2400MHz 4x RAM-1053,G.SKILL,silver,DDR3,no,495,50,1983,127,-999999
Biostar Z790 AM5 Mini-ITX MB-1560,Biostar,black,DDR3,1083,55,Crucial DDR5 32GB 1600MHz 1x RAM-2777,Crucial,silver,DDR5,no,875,45,1958,100,-999999
Gigabyte Z790 LGA1700 ATX MB-0782,Gigabyte,silver,DDR3,517,84,Crucial DDR4 16GB 1600MHz 2x RAM-2534,Crucial,gray,DDR4,no,380,68,897,152,-999999
Gigabyte B760 LGA1700 ATX MB-2740,Gigabyte,black,DDR4,519,84,Crucial DDR5 16GB 4800MHz 4x RAM-1809,Crucial,silver,DDR5,yes,523,58,1042,142,-999999
MSI X670 LGA1700 Mini-ITX MB-2975,MSI,black,DDR3,1798,95,Corsair DDR4 16GB 1866MHz 4x RAM-0957,Corsair,silver,DDR4,yes,398,55,2196,150,-999999
Biostar Z790 LGA1700 ATX MB-1878,Biostar,gray,DDR5,1408,97,G.SKILL DDR4 32GB 5200MHz 1x RAM-0705,G.SKILL,gray,DDR4,yes,731,60,2139,157,-999999
ASUS X670 AM5 mATX MB-1653,ASUS,black,DDR4,1209,45,Corsair DDR5 32GB 4800MHz 1x RAM-1991,Corsair,silver,DDR5,yes,630,54,1839,99,-999999
ASUS B760 AM5 mATX MB-2915,ASUS,silver,DDR3,1622,98,Patriot DDR4 32GB 5600MHz 1x RAM-0331,Patriot,black,DDR4,no,646,64,2268,162,-999999
ASUS B760 AM5 Mini-ITX MB-0528,ASUS,white,DDR3,835,65,Crucial DDR5 64GB 1866MHz 1x RAM-0458,Crucial,gray,DDR5,no,971,63,1806,128,-999999
Gigabyte X670 AM5 mATX MB-2583,Gigabyte,white,DDR3,791,76,G.SKILL DDR5 32GB 1600MHz 4x RAM-2207,G.SKILL,gray,DDR5,no,276,56,1067,132,-999999
Gigabyte B760 LGA1700 ATX MB-2719,Gigabyte,white,DDR4,1238,92,Patriot DDR3 16GB 2133MHz 4x RAM-0733,Patriot,white,DDR3,no,433,49,1671,141,-999999
Gigabyte B760 AM5 ATX MB-0431,Gigabyte,black,DDR3,1447,74,G.SKILL DDR4 64GB 4000MHz 1x RAM-0074,G.SKILL,gray,DDR4,yes,910,72,2357,146,-999999
Biostar Z790 AM5 mATX MB-0361,Biostar,black,DDR4,1495,72,Crucial DDR3 64GB 1600MHz 1x RAM-0003,Crucial,silver,DDR3,yes,930,78,2425,150,-999999
ASUS B650 AM5 ATX MB-1971,ASUS,black,DDR5,2232,48,G.SKILL DDR4 16GB 5600MHz 4x RAM-1838,G.SKILL,black,DDR4,yes,708,55,2940,103,-999999
ASUS B650 AM5 Mini-ITX MB-0036,ASUS,white,DDR5,2048,62,Corsair DDR3 64GB 3600MHz 4x RAM-1720,Corsair,silver,DDR3,no,403,71,2451,133,-999999
MSI X670 LGA1700 mATX MB-2237,MSI,gray,DDR3,1585,81,Crucial DDR5 32GB 5600MHz 1x RAM-2443,Crucial,silver,DDR5,no,1155,61,2740,142,-999999
MSI X670 AM5 Mini-ITX MB-1126,MSI,black,DDR5,1118,96,Kingston DDR4 32GB 6000MHz 4x RAM-1083,Kingston,gray,DDR4,yes,853,45,1971,141,-999999
Biostar Z790 AM5 ATX MB-0390,Biostar,black,DDR5,2158,62,Corsair DDR4 8GB 2400MHz 4x RAM-1702,Corsair,silver,DDR4,yes,1278,80,3436,142,-999999
Gigabyte B760 LGA1700 Mini-ITX MB-1603,Gigabyte,gray,DDR4,336,82,Kingston DDR3 32GB 3600MHz 4x RAM-0116,Kingston,white,DDR3,no,631,98,967,180,-999999
Biostar B760 LGA1700 mATX MB-2458,Biostar,gray,DDR4,322,59,Kingston DDR3 8GB 6400MHz 1x RAM-0881,Kingston,gray,DDR3,yes,489,75,811,134,-999999
ASUS B650 LGA1700 mATX MB-0252,ASUS,black,DDR5,1176,55,Crucial DDR4 8GB 5600MHz 2x RAM-0557,Crucial,white,DDR4,no,350,65,1526,120,-999999
